ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
56,NTA2020,Brooklyn,BK1303,Brighton Beach,3,Brooklyn,BK1303,Match,Brighton Beach,Match,47,0.88,88,12,BrghtnBch,0,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),,0,"33,568"
57,NTA2020,Brooklyn,BK1503,"Sheepshead Bay, Manhattan Beach, Gerritsen Beach",3,Brooklyn,BK1503,Match,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,No Match,47,0.68,68,32,ShpshdBy,0,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),,0,"69,084"
58,NTA2020,Brooklyn,BK1891,"Marine Park, Plumb Island",3,Brooklyn,BK1891,Match,Marine Park-Plumb Island,No Match,47,0.46,46,54,MrnPk_PIsl,9,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),,9,1
59,NTA2020,Brooklyn,BK5691,"Barren Island, Floyd Bennett Field",3,Brooklyn,BK5691,Match,Barren Island-Floyd Bennett Field,No Match,47,0.4,40,60,BrrnIsl,9,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),,9,21
60,NTA2020,Brooklyn,BK1892,McGuire Fields,3,Brooklyn,BK1892,Match,McGuire Fields,Match,47,0.85,85,15,McGrFlds,9,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),,9,4
61,NTA2020,Brooklyn,BK1802,"Marine Park, Mill Basin, Bergen Beach",3,Brooklyn,BK1802,Match,Marine Park-Mill Basin-Bergen Beach,No Match,47,0.38,38,62,MrnPk_MBsn,0,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),,0,"46,955"
62,NTA2020,Brooklyn,BK1801,Flatlands,3,Brooklyn,BK1801,Match,Flatlands,Match,47,0.03,3,97,Fltlnds,0,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),,0,"67,087"
63,NTA2020,Brooklyn,BK1803,Canarsie,3,Brooklyn,BK1803,Match,Canarsie,Match,47,0.37,37,63,Cnrsie,0,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),,0,"89,932"
64,NTA2020,Brooklyn,BK1893,Canarsie Park & Pier,3,Brooklyn,BK1893,Match,Canarsie Park & Pier,Match,47,0.55,55,45,CnrsiePk,9,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),,9,5
65,NTA2020,Brooklyn,BK5693,Shirley Chisholm State Park,3,Brooklyn,BK5693,Match,Shirley Chisholm State Park,Match,47,0.09,9,91,ShChshlmPk,9,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),,9,0
66,NTA2020,Brooklyn,BK0504,"Spring Creek, Starrett City",3,Brooklyn,BK0504,Match,Spring Creek-Starrett City,No Match,47,0.1,10,90,SpCrk_StrC,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),,0,"17,038"
67,NTA2020,Brooklyn,BK0503,"East New York, New Lots",3,Brooklyn,BK0503,Match,East New York-New Lots,No Match,47,0.02,2,98,ENY_NwLts,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),,0,"53,004"
68,NTA2020,Brooklyn,BK0505,"East New York, City Line",3,Brooklyn,BK0505,Match,East New York-City Line,No Match,47,0.06,6,94,ENY_CtyLn,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),,0,"45,559"
69,NTA2020,Brooklyn,BK5692,Jamaica Bay (West),3,Brooklyn,BK5692,Match,Jamaica Bay (West),Match,47,0.41,41,59,JmcaBy_W,9,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),,9,0
